floor1,floor1_2,floor1_2_3,total,,,floor1,floor1_2,floor1_2_3
540,996,1570,2287,,,,,
552,1002,1621,2300,,,,,
568,1014,1602,2284,,,,,
545,1030,1617,2294,,,,,
529,1033,1638,2295,,,,,
527,1002,1566,2298,,,,,
538,1033,1621,2289,,,,,
533,1016,1603,2274,,,,,
533,1001,1557,2279,,,,,
549,1019,1597,2289,,,,,
558,1074,1614,2291,,,,,
572,1042,1604,2286,,,,,
581,1022,1516,2218,,,,,
566,1016,1586,2298,,,,,
596,1048,1593,2285,,,,,
530,1000,1608,2290,,,,,
555,1000,1576,2278,,,,,
546,1000,1629,2298,,,,,
565,1035,1579,2291,,,,,
564,1087,1604,2291,,,,,
505,1020,1585,2287,,,,,
540,989,1593,2255,,,,,
522,995,1585,2297,,,,,
578,1043,1618,2300,,,,,
512,994,1607,2269,,,,,
589,1005,1529,2181,,,,,
548,1020,1595,2277,,,,,
514,994,1525,2267,,,,,
577,1092,1597,2289,,,,,
569,1046,1572,2294,,,,,
534,1018,1593,2275,,,,,
562,1018,1572,2244,,,,,
532,995,1588,2300,,,,,
546,983,1586,2296,,,,,
552,1041,1618,2290,,,,,
567,1058,1648,2280,,,,,
510,989,1557,2254,,,,,
623,1040,1590,2267,,,,,
529,1013,1565,2282,,,,,
598,1050,1614,2291,,,,,
549,1026,1611,2298,,,,,
575,1049,1647,2290,,,,,
573,1052,1598,2276,,,,,
575,1048,1629,2281,,,,,
521,984,1579,2286,,,,,
566,1036,1608,2285,,,,,
535,1023,1562,2284,,,,,
541,1027,1599,2286,,,,,
526,1004,1593,2255,,,,,
578,1027,1604,2281,,,,,
563,1040,1593,2293,,,,,
539,1022,1634,2296,,,,,
529,1043,1628,2290,,,,,
527,978,1549,2241,,,,,
536,1032,1600,2277,,,,,
524,963,1615,2292,,,,,
514,968,1557,2279,,,,,
507,991,1597,2274,,,,,
548,1028,1582,2269,,,,,
533,1002,1603,2275,,,,,
540,1005,1588,2250,,,,,
556,1029,1594,2261,,,,,
552,1050,1664,2286,,,,,
556,1007,1569,2236,,,,,
547,1020,1649,2296,,,,,
572,1063,1602,2284,,,,,
583,1045,1568,2245,,,,,
575,1044,1628,2295,,,,,
541,1015,1597,2284,,,,,
592,1022,1596,2288,,,,,
533,1016,1604,2296,,,,,
558,976,1576,2283,,,,,
556,1032,1581,2293,,,,,
530,1007,1599,2284,,,,,
556,1026,1603,2299,,,,,
538,1005,1622,2284,,,,,
583,1072,1628,2280,,,,,
582,1065,1635,2297,,,,,
579,1063,1625,2287,,,,,
559,1021,1612,2274,,,,,
530,1054,1603,2295,,,,,
528,999,1572,2219,,,,,
537,988,1559,2276,,,,,
553,1018,1555,2257,,,,,
578,1042,1602,2284,,,,,
557,1010,1573,2295,,,,,
577,1033,1614,2291,,,,,
562,1072,1624,2261,,,,,
524,982,1537,2284,,,,,
562,1054,1615,2297,,,,,
579,1033,1627,2299,,,,,
557,1078,1703,2300,,,,,
537,1005,1584,2296,,,,,
524,1008,1546,2228,,,,,
547,1018,1587,2259,,,,,
553,1014,1679,2296,,,,,
562,1070,1637,2299,,,,,
560,997,1629,2291,,,,,
556,1007,1605,2277,,,,,
558,1065,1635,2297,,,,,
562,976,1572,2294,,,,,
525,969,1587,2264,,,,,
527,1003,1591,2298,,,,,
526,991,1589,2286,,,,,
564,1014,1641,2273,,,,,
585,1043,1564,2276,,,,,
531,978,1583,2285,,,,,
545,1006,1622,2264,,,,,
539,1008,1578,2300,,,,,
533,1008,1567,2279,,,,,
573,1020,1584,2291,,,,,
528,1018,1664,2291,,,,,
526,988,1555,2255,,,,,
532,1027,1577,2299,,,,,
544,1006,1589,2286,,,,,
572,1069,1619,2290,,,,,
557,1005,1528,2225,,,,,
522,995,1546,2288,,,,,
532,1049,1626,2293,,,,,
546,1017,1573,2275,,,,,
550,1048,1581,2278,,,,,
510,954,1518,2205,,,,,
586,1042,1569,2281,,,,,
534,1051,1628,2295,,,,,
531,1005,1566,2292,,,,,
558,1008,1572,2274,,,,,
511,1002,1563,2275,,,,,
603,1083,1647,2294,,,,,
540,1009,1586,2292,,,,,
528,1022,1616,2294,,,,,
575,1046,1653,2290,,,,,
576,1030,1590,2292,,,,,
516,960,1585,2292,,,,,
542,1014,1596,2283,,,,,
586,1055,1619,2281,,,,,
598,1083,1633,2300,,,,,
522,982,1566,2273,,,,,
582,1045,1609,2266,,,,,
511,1036,1578,2255,,,,,
550,1037,1620,2282,,,,,
570,1031,1609,2271,,,,,
533,1037,1579,2291,,,,,
559,1037,1637,2274,,,,,
522,968,1511,2278,,,,,
559,1031,1643,2292,,,,,
528,992,1563,2265,,,,,
561,1042,1580,2282,,,,,
528,986,1564,2266,,,,,
551,1011,1598,2290,,,,,
554,1017,1584,2296,,,,,
517,959,1540,2252,,,,,
586,1026,1618,2290,,,,,
547,985,1543,2270,,,,,
594,1049,1603,2295,,,,,
562,1055,1599,2271,,,,,
592,1054,1612,2264,,,,,
551,1016,1601,2283,,,,,
540,1004,1582,2289,,,,,
538,1003,1545,2257,,,,,
497,959,1575,2287,,,,,
551,1044,1658,2300,,,,,
515,972,1601,2256,,,,,
548,1012,1584,2291,,,,,
525,1023,1630,2297,,,,,
535,1033,1569,2236,,,,,
553,999,1543,2280,,,,,
519,1007,1641,2268,,,,,
578,1031,1609,2266,,,,,
555,1000,1581,2243,,,,,
543,968,1522,2204,,,,,
532,966,1570,2268,,,,,
538,977,1548,2275,,,,,
578,1079,1601,2278,,,,,
549,1015,1569,2286,,,,,
560,1065,1636,2298,,,,,
542,1009,1616,2298,,,,,
557,1029,1595,2272,,,,,
575,1048,1604,2226,,,,,
525,1009,1588,2295,,,,,
546,1005,1598,2275,,,,,
540,1045,1556,2258,,,,,
548,1023,1571,2298,,,,,
552,1047,1597,2279,,,,,
560,1002,1546,2218,,,,,
524,983,1572,2274,,,,,
527,978,1629,2296,,,,,
578,1016,1583,2235,,,,,
536,984,1518,2215,,,,,
536,985,1561,2268,,,,,
597,1080,1612,2264,,,,,
556,1038,1583,2280,,,,,
574,1028,1624,2291,,,,,
560,1020,1580,2287,,,,,
540,1001,1561,2288,,,,,
574,1027,1592,2289,,,,,
587,1036,1571,2293,,,,,
595,1059,1606,2268,,,,,
545,960,1561,2283,,,,,
511,979,1577,2294,,,,,
521,1011,1521,2278,,,,,
548,1005,1553,2298,,,,,
522,986,1581,2283,,,,,
520,1026,1579,2291,,,,,
546,993,1602,2269,,,,,
583,1065,1600,2292,,,,,
528,987,1554,2281,,,,,
534,987,1608,2295,,,,,
567,1015,1644,2291,,,,,
562,986,1564,2234,,,,,
540,1012,1634,2296,,,,,
579,1050,1630,2297,,,,,
536,1030,1600,2275,,,,,
590,1087,1653,2280,,,,,
548,1010,1624,2291,,,,,
550,1030,1612,2284,,,,,
558,1009,1526,2273,,,,,
506,1001,1580,2297,,,,,
541,1012,1637,2284,,,,,
542,1024,1560,2297,,,,,
530,991,1604,2291,,,,,
525,1018,1589,2256,,,,,
571,1039,1583,2285,,,,,
569,1057,1658,2280,,,,,
549,1014,1548,2255,,,,,
536,1012,1603,2280,,,,,
585,1031,1571,2293,,,,,
510,999,1566,2263,,,,,
518,989,1570,2272,,,,,
563,1031,1600,2287,,,,,
551,1026,1549,2286,,,,,
535,1035,1612,2279,,,,,
571,1056,1629,2269,,,,,
523,996,1638,2295,,,,,
542,997,1582,2299,,,,,
577,1070,1610,2267,,,,,
540,1016,1597,2266,,,,,
513,993,1560,2287,,,,,
568,1012,1597,2291,,,,,
592,1021,1591,2263,,,,,
532,1012,1633,2285,,,,,
546,1010,1590,2292,,,,,
536,996,1585,2262,,,,,
546,1021,1578,2280,,,,,
616,1104,1642,2289,,,,,
538,1002,1583,2295,,,,,
561,1041,1578,2280,,,,,
535,1047,1605,2262,,,,,
606,1081,1617,2299,,,,,
528,1021,1590,2249,,,,,
527,991,1607,2294,,,,,
545,1015,1605,2287,,,,,
547,1019,1611,2293,,,,,
576,1063,1643,2290,,,,,
560,1022,1611,2283,,,,,
537,1000,1562,2292,,,,,
535,1005,1542,2289,,,,,
548,1011,1612,2254,,,,,
521,1022,1642,2299,,,,,
531,1026,1639,2269,,,,,
548,1016,1565,2262,,,,,
608,1043,1578,2235,,,,,
575,1012,1605,2285,,,,,
549,1049,1595,2287,,,,,
544,1007,1539,2236,,,,,
505,1007,1594,2286,,,,,
567,1042,1604,2291,,,,,
514,997,1512,2174,,,,,
541,1029,1613,2300,,,,,
542,999,1610,2282,,,,,
542,1039,1543,2265,,,,,
536,997,1565,2252,,,,,
563,1018,1566,2298,,,,,
582,1063,1661,2298,,,,,
529,964,1539,2286,,,,,
542,1005,1613,2295,,,,,
605,1051,1603,2280,,,,,
551,1022,1615,2297,,,,,
545,1018,1554,2291,,,,,
541,1033,1603,2280,,,,,
542,1021,1576,2268,,,,,
579,1009,1560,2292,,,,,
569,1030,1620,2294,,,,,
548,985,1546,2283,,,,,
526,1070,1595,2292,,,,,
534,1002,1556,2268,,,,,
532,957,1593,2300,,,,,
549,975,1525,2292,,,,,
522,990,1558,2245,,,,,
592,1045,1610,2247,,,,,
584,1068,1609,2291,,,,,
525,983,1589,2271,,,,,
544,1027,1555,2212,,,,,
570,1038,1607,2294,,,,,
580,1062,1618,2280,,,,,
572,1041,1602,2259,,,,,
557,1010,1564,2226,,,,,
533,1040,1585,2267,,,,,
565,1035,1601,2293,,,,,
592,1053,1608,2300,,,,,
591,1038,1587,2259,,,,,
596,1062,1642,2299,,,,,
550,1012,1591,2283,,,,,
537,1015,1571,2273,,,,,
563,1037,1591,2263,,,,,
534,994,1574,2251,,,,,
530,986,1527,2294,,,,,
566,1017,1612,2274,,,,,
564,1017,1581,2273,,,,,
514,975,1558,2280,,,,,
545,1009,1517,2184,,,,,
588,1049,1601,2258,,,,,
555,1018,1576,2268,,,,,
509,982,1544,2276,,,,,
537,1040,1603,2290,,,,,
508,958,1558,2260,,,,,
559,1040,1653,2290,,,,,
585,1066,1611,2278,,,,,
579,1040,1603,2289,,,,,
511,981,1570,2222,,,,,
508,978,1594,2291,,,,,
531,1016,1619,2281,,,,,
564,1019,1596,2267,,,,,
589,1046,1607,2294,,,,,
580,1037,1604,2271,,,,,
527,1018,1559,2276,,,,,
522,1009,1580,2272,,,,,
549,1053,1612,2284,,,,,
567,1031,1585,2292,,,,,
550,1004,1567,2299,,,,,
518,1009,1551,2233,,,,,
591,1049,1599,2276,,,,,
570,1044,1578,2300,,,,,
543,1024,1575,2242,,,,,
521,1005,1571,2298,,,,,
580,1057,1592,2284,,,,,
555,1034,1600,2282,,,,,
532,1006,1578,2245,,,,,
537,996,1595,2292,,,,,
567,1021,1589,2296,,,,,
560,1016,1593,2285,,,,,
534,999,1554,2276,,,,,
566,1073,1656,2293,,,,,
539,1008,1636,2298,,,,,
566,1088,1644,2299,,,,,
