floor1,prob_reach_floor1,prob_complete_after_floor1,floor1_2,prob_reach_floor1_2,prob_complete_after_floor1_2,floor1_2_3,prob_reach_floor1_2_3,prob_complete_after_floor1_2_3,total,,,floor1,floor1_2,floor1_2_3
517,0.01044,0.102965095565681,1005,0.03643,0.0987078893913366,1584,0.01658,0.26259,2296,,,,,
526,0.02635,0.0787218852982478,975,0.00379,0.227388189892184,1506,0.00006,0.90376,2243,,,,,
528,0.03161,0.0739511142732888,1002,0.03048,0.108613965165864,1572,0.00934,0.39839,2224,,,,,
532,0.04445,0.0650518092384121,1000,0.02651,0.115582024434988,1549,0.00249,0.59962,2211,,,,,
510,0.00442,0.125090875668474,978,0.00487,0.211630041054027,1584,0.01658,0.26259,2291,,,,,
531,0.04096,0.0671977840691001,982,0.00715,0.19156813642142,1581,0.01451,0.30552,2298,,,,,
522,0.01782,0.0889269333334436,953,0.0004,0.358681399007331,1576,0.01156,0.35135,2298,,,,,
526,0.02635,0.0787218852982478,997,0.02202,0.12658592461451,1567,0.00721,0.44869,2249,,,,,
531,0.04096,0.0671977840691001,986,0.00988,0.172632021468607,1559,0.00431,0.50272,2271,,,,,
534,0.05189,0.0609139459038858,1005,0.03643,0.0987078893913366,1544,0.00196,0.64544,2296,,,,,
523,0.01974,0.0862915094774789,983,0.00772,0.186727058016664,1565,0.00638,0.45153,2287,,,,,
520,0.01473,0.0943687944150022,973,0.00304,0.238219567955614,1606,0.04289,0.12152,2268,,,,,
524,0.02183,0.083712506483631,975,0.00379,0.227388189892184,1592,0.0238,0.21899,2294,,,,,
518,0.01168,0.10004136818048,1013,0.05783,0.0754093928421774,1592,0.0238,0.21899,2294,,,,,
517,0.01044,0.102965095565681,967,0.00174,0.272186362948228,1568,0.00757,0.44727,2235,,,,,
511,0.00498,0.121750581887447,984,0.00842,0.181956995921733,1616,0.06214,0.07412,2292,,,,,
534,0.05189,0.0609139459038858,1004,0.03443,0.101937598075709,1597,0.02996,0.18339,2295,,,,,
524,0.02183,0.083712506483631,984,0.00842,0.181956995921733,1573,0.00987,0.39689,2250,,,,,
528,0.03161,0.0739511142732888,974,0.00342,0.232771926407453,1584,0.01658,0.26259,2298,,,,,
485,0.00006,0.228001827549115,970,0.00238,0.25493537215016,1519,0.00024,0.83347,2186,,,,,
518,0.01168,0.10004136818048,1002,0.03048,0.108613965165864,1574,0.01028,0.35407,2201,,,,,
514,0.00742,0.112089883360774,985,0.00907,0.177258487449708,1594,0.02603,0.18643,2276,,,,,
524,0.02183,0.083712506483631,1001,0.02824,0.112061372533792,1584,0.01658,0.26259,2277,,,,,
529,0.03456,0.0716468529242503,989,0.01249,0.159189045068407,1571,0.00887,0.40015,2248,,,,,
533,0.04794,0.0629574035406007,981,0.00644,0.196479641188204,1592,0.0238,0.21899,2299,,,,,
519,0.01327,0.0971760516042577,1013,0.05783,0.0754093928421774,1613,0.05559,0.09458,2295,,,,,
513,0.00662,0.115250265824372,969,0.00217,0.260627845005088,1561,0.00496,0.49948,2253,,,,,
509,0.00385,0.128491452448288,1014,0.06089,0.0728056174696529,1587,0.01894,0.25879,2298,,,,,
508,0.00337,0.131952420111913,963,0.00119,0.295960953147864,1566,0.00672,0.4501,2248,,,,,
527,0.02903,0.0763092778586665,991,0.01452,0.150594000985042,1583,0.01589,0.30283,2290,,,,,
526,0.02635,0.0787218852982478,988,0.01143,0.163596936174249,1589,0.02083,0.22261,2286,,,,,
510,0.00442,0.125090875668474,943,0.00015,0.424745283620723,1525,0.00047,0.80163,2232,,,,,
