time,probability
2536,0.8888018646728827
2537,0.8912800779215105
2538,0.893717710472155
2539,0.8961150406138767
2540,0.8984723342755178
2541,0.9007899091329833
2542,0.9030680667742883
2543,0.9053071194653998
2544,0.9075073837539392
2545,0.9096691502298622
2546,0.9117927890865496
2547,0.9138786368567204
2548,0.9159270390510386
2549,0.9179383456664789
2550,0.9199128686340327
2551,0.9218510161843314
2552,0.9237531534052463
2553,0.9256196521097596
2554,0.9274508868696357
2555,0.9292471746023311
2556,0.931008966105625
2557,0.9327366446986995
2558,0.9344306032237736
2559,0.9360912309943769
2560,0.9377188184896404
2561,0.9393138805346
2562,0.9408768149565849
2563,0.942408025452537
2564,0.9439079157481044
2565,0.9453767646780536
2566,0.9468151157447077
2567,0.948223375391315
2568,0.949601956222546
2569,0.9509512639418496
2570,0.9522715277907858
2571,0.9535633520106972
2572,0.9548271441782407
2573,0.9560633157665135
2574,0.9572722761035787
2575,0.9584541748349539
2576,0.9596096927854001
2577,0.9607392356688949
2578,0.961843216259723
2579,0.9629220328385089
2580,0.9639757739782194
2581,0.9650051737799796
2582,0.9660106332766025
2583,0.9669925549049114
2584,0.9679513292966653
2585,0.9688869334873718
2586,0.9698002006977776
2587,0.9706915151527641
2588,0.9715612689058438
2589,0.9724098363862734
2590,0.9732370915188333
2591,0.9740439507693808
2592,0.9748307843869953
2593,0.9755979684035011
2594,0.976345861128687
2595,0.9770742117978505
2596,0.9777840381716336
2597,0.9784756870739424
2598,0.9791495266576058
2599,0.9798058896854244
2600,0.9804444054601524
2601,0.9810661831755446
2602,0.9816715548014165
2603,0.9822608641607955
2604,0.9828344266245866
2605,0.9833917618416699
2606,0.9839340473375775
2607,0.9844616008157281
2608,0.9849747392793227
2609,0.9854737564442789
2610,0.9859579905405615
2611,0.9864287727364822
2612,0.9868863978591812
2613,0.9873311595553849
2614,0.987763336126166
2615,0.9881822021666532
2616,0.9885890990994619
2617,0.9889843008859455
2618,0.9893680844705993
2619,0.9897406964802835
2620,0.9901012780496776
2621,0.9904512787273185
2622,0.9907909505502424
2623,0.9911205346611861
2624,0.9914402666513286
2625,0.9917490878305129
2626,0.9920486029194231
2627,0.9923390420335592
2628,0.9926206384725924
2629,0.9928935923222809
2630,0.9931568287822359
2631,0.9934119274296543
2632,0.9936590933958523
2633,0.9938985458829331
2634,0.9941304575525027
2635,0.9943536484325071
2636,0.9945697676763513
2637,0.9947789917643343
2638,0.9949815193322831
2639,0.9951775115785477
2640,0.9953657187702769
2641,0.9955478223856015
2642,0.9957239864473901
2643,0.9958943774944599
2644,0.9960591359012744
2645,0.9962170205995071
2646,0.9963696608116895
2647,0.9965172000563912
2648,0.9966597824606497
2649,0.9967975371770242
2650,0.9969292259748055
2651,0.997056435338705
2652,0.9971792933938773
2653,0.9972979350304711
2654,0.9974124646816886
2655,0.9975216622399757
2656,0.9976270682835919
2657,0.9977287952462626
2658,0.9978269462231018
2659,0.997921625568369
2660,0.9980116403758647
2661,0.9980984546368102
2662,0.9981821751710824
2663,0.9982628977743018
2664,0.9983407017647995
2665,0.9984144287819718
2666,0.9984854834834406
2667,0.9985539552739533
2668,0.9986199267643338
2669,0.9986834648505576
2670,0.9987435060956472
2671,0.9988013262293948
2672,0.9988569956884873
2673,0.9989105885953465
2674,0.9989621631637264
2675,0.9990107024786797
2676,0.9990574130792956
2677,0.9991023499183438
2678,0.9991455758923659
2679,0.9991871373751828
2680,0.9992261167130744
2681,0.9992635991970077
2682,0.9992996313146756
2683,0.9993342628011421
2684,0.9993675356258606
2685,0.9993986202901665
